"*";"base";"s"
"cn_Korygiello.m";"柯洛耶基羅";""
"cn_Kos.f";"柯斯";""
"cn_Kosara.f";"柯薩拉";""
"cn_Kose.m";"柯瑟";""
"cn_Kosmas.m";"柯斯馬斯";""
"cn_Kostancia.f";"柯斯坦西婭";""
"cn_Kostandin.m";"柯斯坦丁";""
"cn_Koten.m";"柯特恩";""
"cn_Kotony.m";"柯特翁尼";""
"cn_Koturum.m";"柯特魯姆";""
"cn_Kozma.m";"柯茲馬";""
"cn_Krakra.m";"柯拉卡爾";""
"cn_Kravay.f";"柯拉威";""
"cn_Kreshnik.m";"克里什尼克";""
"cn_Kriemhild.f";"克里米希德";""
"cn_Krim.m";"克里木";""
"cn_Kristiane.f";"克里斯提亞妮";""
"cn_Kristianus.m";"克里斯蒂安努斯";""
"cn_Kristin.f";"克里斯婷";""
"cn_Kristina.f";"克里斯提婭";""
"cn_Kristine.f";"克里斯汀妮";""
"cn_Kristopher.m";"克里斯托弗爾";""
"cn_Krystyna.f";"克雷斯蒂娜";""
"cn_Krzystof.m";"克雷斯托夫";""
"cn_Ksenia.f";"科塞尼婭";""
"cn_Kua.f";"庫阿";""
"cn_Kubad.m";"庫巴德";""
"cn_Kubasar.m";"庫巴薩爾";""
"cn_Kublai.m";"庫拜";""
"cn_Kuchug.m";"古楚格";""
"cn_Kudambes.m";"庫達姆貝斯";""
"cn_Kudelin.m";"庫德林";""
"cn_Kulayb.m";"庫拉比";""
"cn_Kulin.m";"庫林";""
"cn_Kullervo.m";"庫勒維洛";""
"cn_Kultuka.m";"庫爾圖卡";""
"cn_Kunegunda.f";"庫涅溫妲";""
"cn_Kunhuta.f";"庫恩胡塔";""
"cn_Kunigunde.f";"庫妮溫妲";""
"cn_Kunjushkab.f";"庫吉沙卡芭";""
"cn_Kunnari.m";"庫納里";""
"cn_Kuno.m";"庫諾";""
"cn_Kura.m";"庫拉";""
"cn_Kurd.m";"庫爾德";""
"cn_Kurdujin.f";"庫爾德金";""
"cn_Kurt.m";"庫特";""
"cn_Kurtugha.m";"庫特格哈";""
"cn_Kuruichik.m";"庫烏奇克";""
"cn_Kusaila.m";"庫薩拉";""
"cn_Kushyar.m";"庫什亞";""
"cn_Kustaa.m";"庫薩塔";""
"cn_Kutan.m";"庫坦";""
"cn_Kutlug.m";"庫圖格";""
"cn_Kutlugh.m";"骨咄祿";""
"cn_Kutsna.m";"庫特斯那";""
"cn_Kuwinji.m";"庫溫吉";""
"cn_Kvarkvare.m";"庫瓦爾克維爾";""
"cn_Kvirike.m";"庫維克";""
"cn_Kyllikki.f";"庫里琪";""
"cn_Kyrianna.f";"庫耶安娜";""
"cn_Kyrillos.m";"西里爾";""
"cn_Kyud.m";"庫伍德";""
"cn_Lachlan.m";"拉克蘭";""
"cn_Lack.m";"拉克";""
"cn_Ladika.f";"拉迪卡";""
"cn_Ladislau.m";"拉迪斯勞";""
"cn_Ladislaus.m";"拉迪斯勞斯";""
"cn_Ladislav.m";"拉迪斯拉夫";""
"cn_Lafracoth.f";"拉弗蘭科斯";""
"cn_Lafranc.m";"拉弗蘭科";""
"cn_Lagzi.m";"拉格茲";""
"cn_Laighnech.m";"拉格尼奇";""
"cn_Lajos.m";"拉傑斯";""
"cn_Lal.m";"拉萊";""
"cn_Lamba.m";"拉姆巴";""
"cn_Lambert.m";"拉姆波特";""
"cn_Lamberta.f";"拉穆巴爾妲";""
"cn_Lamberto.m";"拉慕貝爾托";""
"cn_Lambertus.m";"拉姆貝爾圖斯";""
"cn_Lammechinus.m";"拉莫尼庫斯";""
"cn_Lampert.m";"拉姆佩爾特";""
"cn_Lamprecht.m";"蘭普雷希特";""
"cn_Lance.m";"嵐斯";""
"cn_Lanfranco.m";"蘭弗蘭科";""
"cn_Lanfrank.m";"拉弗蘭克";""
"cn_Lanka.f";"蘭卡";""
"cn_Lansine.m";"蘭思尼";""
"cn_Lanval.m";"蘭瓦爾";""
"cn_Lapo.m";"蘭波";""
"cn_Larbi.m";"拉爾比";""
"cn_Lars.m";"拉爾斯";""
"cn_Lasha.m";"拉沙";""
"cn_Latcu.m";"拉克圖";""
"cn_Laudine.f";"勞丁妮";""
"cn_Laugier.m";"勞格爾";""
"cn_Laumanus.m";"勞曼努斯";""
"cn_Laura.f";"勞拉";""
"cn_Laure.f";"勞勒";""
"cn_Laurent.m";"勞倫特";""
"cn_Laurette.f";"勞瑞特";""
"cn_Lawemundum.m";"勞溫杜姆";""
"cn_Lawrance.m";"勞倫斯";""
"cn_Lawrence.m";"勞溫斯";""
"cn_Layla.f";"拉蒂婭";""
"cn_Lazar.m";"拉扎爾";""
"cn_Lazaros.m";"拉扎羅斯";""
"cn_Lazslo.m";"勞扎斯洛";""
"cn_Lech.m";"勞奇";""
"cn_Leek.m";"里克";""
"cn_Legai.m";"里加爾";""
"cn_Leif.m";"里夫";""
"cn_Leke.m";"雷克";""
"cn_Lekes.m";"里柯斯";""
"cn_Lemminkainen.m";"萊明凱寧";""
"cn_Lempi.f";"萊米皮";""
"cn_Lempo.m";"萊姆伯";""
"cn_Lengvenis.m";"盧格維尼";""
"cn_Lenhard.m";"倫哈德";""
"cn_Leo.m";"里歐";""
"cn_Leod.m";"里歐德";""
"cn_Leofwin.m";"里弗溫";""
"cn_Leonard.m";"萊昂納德";""
"cn_Leonardo.m";"萊昂納多";""
"cn_Leone.m";"隆尼";""
"cn_Leonor.f";"隆諾爾";""
"cn_Leonore.f";"萊隆諾爾";""
"cn_Leontios.m";"利昂蒂奧斯";""
"cn_Leopold.m";"列奧波德";""
"cn_Leot.m";"雷奧特";""
"cn_Leszek.m";"萊塞克";""
"cn_Letitia.f";"利蒂希婭";""
"cn_Leustak.m";"勞斯塔克";""
"cn_Leuthold.m";"勞斯胡德";""
"cn_Lev.m";"列夫";""
"cn_Levon.m";"李維恩";""
"cn_Lewys.m";"李維斯";""
"cn_Leyla.f";"李耶菈";""
"cn_Liamine.m";"里安明尼";""
"cn_Libing.m";"里賓";""
"cn_Liepina.f";"列皮娜";""
"cn_Liesis.m";"萊艾斯";""
"cn_Lieze.f";"萊澤妮";""
"cn_Lifolf.m";"里伏爾夫";""
"cn_Ligeikis.m";"利蓋基斯";""
"cn_Lijs.f";"里吉斯";""
"cn_Lijsbet.f";"里吉斯貝特";""
"cn_Likeik.m";"里可立克";""
"cn_Lingwen.m";"里葛文";""
"cn_Liobov.f";"里奧波弗";""
"cn_Lionel.m";"萊昂內爾";""
"cn_Liparit.m";"利帕里特";""
"cn_Liphardus.m";"里法爾杜斯";""
"cn_Liphild.f";"利奎德";""
"cn_Lisa.f";"麗薩";""
"cn_Litovoi.m";"里托維依";""
"cn_Liubartas.m";"里巴爾塔斯";""
"cn_Liyau.m";"里阿育";""
"cn_Ljotolfr.m";"廖托弗爾";""
"cn_Llawdden.m";"勞登";""
"cn_Lleucu.f";"盧庫";""
"cn_Llygad.m";"盧加德";""
"cn_Llywarch.m";"盧瓦爾馳";""
"cn_Llywelyn.m";"盧維林";""
"cn_Lochlainn.m";"洛克萊恩";""
"cn_Lodewijk.m";"洛德韋克";""
"cn_Lodomer.m";"洛德米爾";""
"cn_Loftur.m";"洛弗特爾";""
"cn_Lope.m";"洛普";""
"cn_Lora.f";"洛菈";""
"cn_Lorencio.m";"洛倫西奧";""
"cn_Lorencz.m";"洛倫茨";""
"cn_Lorenzo.m";"洛倫索";""
"cn_Lorine.f";"羅琳妮";""
"cn_Losaneta.f";"洛森尼妲";""
"cn_Lote.f";"洛特";""
"cn_Lothair.m";"洛塞爾";""
"cn_Lotteringo.m";"洛特爾里戈";""
"cn_Louhi.f";"洛希";""
"cn_Louis.m";"洛烏斯";""
"cn_Louise.f";"洛伊斯";""
"cn_Lounes.m";"洛內斯";""
"cn_Lounis.m";"洛尼斯";""
"cn_Louve.m";"洛威爾";""
"cn_Lowrans.m";"勞然斯";""
"cn_Lowry.f";"勞耶";""
"cn_Lubaba.f";"露芭芭";""
"cn_Lubna.f";"勞布納";""
"cn_Luca.m";"魯卡";""
"cn_Lucas.m";"魯卡斯";""
"cn_Luchino.m";"盧奇諾";""
"cn_Lucia.f";"露西婭";""
"cn_Lucia_Mahaut.f";"露西婭-瑪特";""
"cn_Lucie.f";"露西耶";""
"cn_Lucienne.f";"呂西安娜";""
"cn_Lucius.m";"盧修斯";""
"cn_Lucy.f";"露西";""
"cn_Ludmila.f";"露德米拉";""
"cn_Ludolf.m";"路道夫";""
"cn_Ludovico.m";"魯多維科";""
"cn_Ludovik.m";"魯多威克";""
"cn_Ludwig.m";"路德維希";""
"cn_Ludwik.m";"盧茲維克";""
"cn_Lugo.m";"盧格";""
"cn_Lugven.m";"盧格文";""
"cn_Luigi.m";"盧基";""
"cn_Luitgard.f";"路易加德";""
"cn_Luitpold.m";"利奧波德";""
"cn_Luka.m";"盧卡";""
"cn_Lukacs.m";"盧卡奇";""
"cn_Lukas.m";"盧卡斯";""
"cn_Luke.m";"路克";""
"cn_Luko.m";"路科";""
"cn_Lulach.m";"盧拉赫";""
"cn_Luloig.m";"盧奧格";""
"cn_Lunete.f";"盧內特";""
"cn_Lupaa.f";"盧帕";""
"cn_Luqman.m";"盧恰曼";""
"cn_Lutgard.f";"盧特加德";""
"cn_Luther.m";"盧瑟";""
"cn_Lutolf.m";"盧托爾弗";""
"cn_Lutozzo.m";"盧托茲";""
"cn_Maarten.m";"馬爾滕";""
"cn_Mabel.f";"梅布爾";""
"cn_Macarius.m";"馬卡里烏斯";""
"cn_Macbethad.m";"麥克白";""
"cn_MacBheatha.m";"麥克-白";""
"cn_Maciej.m";"馬切伊";""
"cn_Madawg.m";"馬達維格";""
"cn_Maddalena.f";"瑪達萊娜";""
"cn_Madrun.f";"馬德倫";""
"cn_Madteos.m";"馬德提奧斯";""
"cn_Madudan.m";"馬杜丹";""
"cn_Madyn.m";"馬杜因";""
"cn_Mael.m";"邁爾";""
"cn_Maeleoin.m";"馬勒翁";""
"cn_Maelgwn.m";"邁爾貢";""
"cn_Maelruanaidh.m";"馬爾拉福德";""
"cn_Maelsechlainn.m";"馬爾勒施岑";""
"cn_Mafalda.f";"瑪法妲";""
"cn_Maffeo.m";"馬菲洛";""
"cn_Magar.m";"馬伽爾";""
"cn_Magdalena.f";"馬格達萊娜";""
"cn_Magha.m";"馬格哈";""
"cn_Maghan.m";"馬格罕";""
"cn_Maghnus.m";"馬格努斯";""
"cn_Magnhild.f";"馬格希爾德";""
"cn_Magnus.m";"馬格納斯";""
"cn_Mah_Pari.f";"馬哈帕里";""
"cn_Mahabba.f";"馬哈巴";""
"cn_Mahamadou.m";"穆罕默杜";""
"cn_Mahariq.f";"麥格里齊";""
"cn_Mahaut.f";"馬哈忒";""
"cn_Mahaut.m";"馬哈特";""
"cn_Mahfuz.m";"馬福茲";""
"cn_Mahjuna.f";"馬屈娜";""
"cn_Mahmoud.m";"馬哈蒙德";""
"cn_Mahmud.m";"馬哈穆德";""
"cn_Maidlin.f";"麥丁";""
"cn_Maighread.f";"麥格赫德";""
"cn_Mailin.m";"邁林";""
"cn_Maine.m";"馬尼";""
"cn_Maio.m";"馬奧";""
"cn_Maja.f";"瑪嘉";""
"cn_Majar.m";"馬加爾";""
"cn_Majdud.m";"馬哲都德";""
"cn_Majin.f";"馬金";""
"cn_Majnun.m";"馬基恩";""
"cn_Makar.m";"馬卡爾";""
"cn_Makeda.f";"馬克達";""
"cn_Makhadun.f";"馬克哈度";""
"cn_Makhoukh.m";"馬克霍都";""
"cn_Makhul.m";"馬克胡爾";""
"cn_Makkiya.f";"瑪奇亞";""
"cn_Makobo.f";"馬可波";""
"cn_Makoma.f";"馬克瑪";""
"cn_Maksim.m";"馬克西姆";""
"cn_Mal.m";"馬爾";""
"cn_Malatesta.m";"馬拉泰斯塔";""
"cn_Malberjone.f";"馬拉貝爾約";""
"cn_Malcolm.m";"馬爾科姆";""
"cn_Malcolmi.m";"馬爾科米";""
"cn_Maldoueni.m";"馬爾多尼";""
"cn_Malek.m";"馬雷克";""
"cn_Malek_ye.f";"馬雷克-耶";""
"cn_Malgorzata.f";"馬爾貢扎塔";""
"cn_Malhun.f";"馬爾渾瑪爾渾";""
"cn_Malik.m";"馬利克";""
"cn_Malika.f";"瑪麗卡";""
"cn_Malisio.m";"馬力索";""
"cn_Mallobo.m";"馬爾伯羅";""
"cn_Malmfred.f";"瑪爾姆芙蕾";""
"cn_Mamadi.m";"馬姆迪";""
"cn_Mamadou.m";"馬馬杜";""
"cn_Mamai.m";"馬麥";""
"cn_Mamia.m";"馬米亞";""
"cn_Mamica.f";"馬米加";""
"cn_Mamik.m";"馬米克";""
"cn_Mamik_Hamazapyan.m";"馬米克-哈瑪扎普延";""
"cn_Manases.m";"馬納瑟斯";""
"cn_Manasser.m";"馬納瑟爾";""
"cn_Manasses.m";"馬納塞斯";""
"cn_Manding.m";"芒丁";""
"cn_Manegold.m";"馬納格德";""
"cn_Manetto.m";"馬納托";""
"cn_Manfred.m";"曼弗雷德";""
"cn_Manggugan.f";"曼高甘";""
"cn_Mangligach.f";"曼格里卡什";""
"cn_Manguberdi.m";"曼古貝爾迪";""
"cn_Mangush.m";"曼古什";""
"cn_Manha.f";"曼哈";""
"cn_Manjak.m";"曼扎克";""
"cn_Mano.m";"曼諾";""
"cn_Manouel.m";"莫諾烏爾";""
"cn_Manqatuy.m";"曼恰提烏";""
"cn_Manrique.m";"曼瑞提烏";""
"cn_Mansur.m";"曼舒爾";""
"cn_Mantvilla.m";"曼提維拉";""
"cn_Manuchehr.m";"曼奇徹爾";""
"cn_Manuchihr.m";"曼努契爾";""
"cn_Manuel.m";"曼努爾";""
"cn_Manvydas.m";"曼維達斯";""
"cn_Maol.m";"毛爾";""
"cn_Mara.f";"馬拉";""
"cn_Marajil.f";"馬拉吉";""
"cn_Marared.f";"馬拉雷德";""
"cn_Marcan.m";"馬爾坎";""
"cn_Marcell.m";"馬塞爾";""
"cn_Marcellus.m";"馬塞爾烏斯";""
"cn_Marco.m";"馬爾科";""
"cn_Marcus.m";"馬爾庫斯";""
"cn_Maredudd.m";"馬雷杜德";""
"cn_Maredydd.m";"馬雷耶德";""
"cn_Margar_filie.f";"馬加爾-富勒";""
"cn_Margar_que.f";"馬加爾-奎膩";""
"cn_Margar_quondam.f";"馬加爾-恰達姆";""
"cn_Margaret.f";"瑪格麗特";""
"cn_Margareta.f";"瑪格麗塔";""
"cn_Margaretae.f";"瑪格麗妲";""
"cn_Margarethe.f";"瑪格麗瑟";""
"cn_Margarette.f";"瑪格蕾特";""
"cn_Margarida.f";"瑪格麗達";""
"cn_Margarita.f";"瑪格蕾塔";""
"cn_Margaritus.m";"馬格利特烏斯";""
"cn_Margau.f";"瑪歌";""
"cn_Margery.f";"馬格瑞";""
"cn_Margherita.f";"瑪格赫爾塔";""
"cn_Margiris.m";"馬格里斯";""
"cn_Margit.f";"瑪格特";""
"cn_Margot.f";"瑪高特";""
"cn_Margred.f";"瑪爾格妲";""
"cn_Margret.f";"瑪爾格特";""
"cn_Margrete.f";"瑪爾葛莉特";""
"cn_Margrette.f";"瑪爾葛莉緹";""
"cn_Marguerite.f";"瑪爾格爾緹";""
"cn_Mari.m";"瑪里";""
"cn_Maria.f";"瑪利亞";""
"cn_Maria_Hendrika.f";"瑪利亞-亨德里卡";""
"cn_Maria_Martha.f";"瑪利亞-瑪爾薩拉";""
"cn_Mariam.f";"瑪利亞姆";""
"cn_Marianne.f";"瑪里亞妮";""
"cn_Mariano.m";"馬里亞諾";""
"cn_Marianus.m";"馬里亞努斯";""
"cn_Maridah.f";"馬麗妲";""
"cn_Marie.f";"馬麗妮";""
"cn_Marie_Louise.f";"馬麗妮-露易斯";""
"cn_Marieke.f";"瑪麗耶克";""
"cn_Marieta.f";"瑪麗耶塔";""
"cn_Mariette.f";"瑪麗耶特";""
"cn_Marija.f";"瑪莉嘉";""
"cn_Marin.m";"馬林";""
"cn_Marina.f";"馬麗娜";""
"cn_Marino.m";"馬力諾";""
"cn_Mario.m";"馬里奧";""
"cn_Marions.f";"瑪里奧尼斯";""
"cn_Mariota.f";"瑪麗奧托";""
"cn_Mariotto.m";"馬利歐托奧";""
"cn_Marioziota.f";"瑪麗澤塔";""
"cn_Mariyah.f";"瑪莉婭";""
"cn_Marja.f";"瑪爾加";""
"cn_Marjan.f";"瑪爾簡";""
"cn_Marjorie.f";"瑪琪莉耶";""
"cn_Mark.m";"馬克";""
"cn_Marketa.f";"瑪爾科塔";""
"cn_Marko.m";"馬爾可";""
"cn_Markward.m";"馬克伍德";""
"cn_Marmaduke.m";"馬爾馬杜克";""
"cn_Marquesa.f";"馬恰爾沙";""
"cn_Marred.f";"馬瑞德";""
"cn_Marsilia.f";"馬西莉亞";""
"cn_Marsilio.m";"馬爾西羅";""
"cn_Marsle.f";"瑪塞爾";""
"cn_Marta.f";"瑪爾塔";""
"cn_Martha.f";"瑪莎";""
"cn_Martin.m";"馬丁";""
"cn_Martina.f";"瑪緹娜";""
"cn_Martino.m";"馬爾帝諾";""
"cn_Martis.m";"馬爾提斯";""
"cn_Marton.m";"馬爾頓";""
"cn_Marured.f";"瑪路瑞德";""
"cn_Marushian.m";"馬魯申安";""
"cn_Marwan.m";"馬爾萬";""
"cn_Mary.f";"瑪麗";""
"cn_Maryam.f";"瑪麗延";""
"cn_Marzuban.m";"馬祖班";""
"cn_Mas_ud.m";"馬斯-烏德";""
"cn_Masalandbo.f";"瑪莎蘭德波";""
"cn_Mascaro.m";"馬斯卡爾羅";""
"cn_Maselewane.f";"馬斯勒娃妮";""
"cn_Maslamah.m";"馬斯拉馬";""
"cn_Maso.m";"馬索";""
"cn_Masqadat.m";"馬斯恰達克";""
"cn_Massonas.m";"馬索納斯";""
"cn_Mastino.m";"馬斯迪諾";""
"cn_Matabrune.f";"瑪塔布魯妮";""
"cn_Matadin.m";"瑪達丁";""
"cn_Matain.m";"瑪塔汀";""
"cn_Mate.m";"梅特";""
"cn_Matei.m";"梅泰";""
"cn_Matej.m";"梅泰賈";""
"cn_Matelda.f";"瑪忒爾達";""
"cn_Matern.m";"馬特恩";""
"cn_Mathei.m";"馬塞伊";""
"cn_Mathghamhain.m";"馬斯格海因";""
"cn_Mathias.m";"馬西亞斯";""
"cn_Mathilde.f";"瑪茜蒂德";""
"cn_Matilda.f";"瑪蒂爾達";""
"cn_Matilde.f";"瑪蒂爾妲";""
"cn_Matne.m";"馬提尼";""
"cn_Matni.m";"馬蒂尼";""
"cn_Mats.m";"馬特斯";""
"cn_Matteo.m";"馬特羅";""
"cn_Matthaios.m";"馬薩提奧斯";""
"cn_Matthew.m";"馬修";""
"cn_Matthias.m";"馬希亞斯";""
"cn_Matthieu.m";"馬西烏";""
"cn_Matti.m";"馬提";""
"cn_Matudan.m";"馬圖丹";""
"cn_Matus.m";"馬忒斯";""
"cn_Matyas.m";"馬提亞斯";""
"cn_Maud.f";"茂德";""
"cn_Maude.f";"茂烏德";""
"cn_Mauger.m";"茂格爾";""
"cn_Maurice.m";"茂魯斯";""
"cn_Mauricius.m";"茂路烏斯";""
"cn_Mawdud.m";"茂阿烏德";""
"cn_Maximos.m";"馬西莫斯";""
"cn_Maynard.m";"邁納爾德";""
"cn_Maynild.f";"邁妮德";""
"cn_Maysun.f";"邁蘇恩";""
"cn_Mayya.f";"邁雅";""
"cn_Mdou.m";"邁多";""
"cn_Mechthild.f";"梅克希爾德";""
"cn_Mecia.f";"梅希嘉";""
"cn_Megerdich.m";"梅格迪克";""
"cn_Meginhard.m";"梅金哈德";""
"cn_Mehmet.m";"梅赫莫特";""
"cn_Mehrab.m";"梅赫拉布";""
"cn_Meic.m";"梅瑞克";""
"cn_Meilendis.f";"梅蘭蒂斯";""
"cn_Meilyr.m";"梅利爾";""
"cn_Meinhard.m";"梅因哈德";""
"cn_Mekhitar.m";"梅奇塔爾";""
"cn_Melaghlin.m";"梅拉格林";""
"cn_Melchizedek.m";"梅爾奇茲德科";""
"cn_Melendo.m";"梅倫鐸";""
"cn_Melika.f";"梅爾卡";""
"cn_Melike.f";"梅爾萊克";""
"cn_Melikgazi.m";"梅爾萊卡茲";""
"cn_Meliksah.m";"梅麗卡薩";""
"cn_Meliore.f";"梅麗洛爾";""
"cn_Melisende.f";"梅麗森妲";""
"cn_Melissa.f";"梅麗薩";""
"cn_Melitus.m";"梅麗圖斯";""
"cn_Melkior.m";"梅爾柯";""
"cn_Melkum.m";"梅爾庫姆";""
"cn_Melor.m";"梅爾羅";""
"cn_Melusine.f";"梅爾茜妮";""
"cn_Membyr.m";"梅姆拜爾";""
"cn_Mencia.f";"曼西婭";""
"cn_Mendog.m";"曼多格";""
"cn_Menem.m";"曼恩姆";""
"cn_Mengli.f";"曼吉麗";""
"cn_Menku.m";"曼庫";""
"cn_Mentset.m";"曼塞特";""
"cn_Mentula.m";"曼圖拉";""
"cn_Merboth.m";"曼爾博斯";""
"cn_Mergen.m";"曼爾根";""
"cn_Meriadoc.m";"梅爾阿多克";""
"cn_Merinedd.f";"梅爾妮德";""
"cn_Merkur.m";"梅爾庫爾";""
"cn_Merozanes.m";"梅爾贊尼斯";""
"cn_Merraid.f";"梅爾拉德";""
"cn_Mesrop.m";"梅斯洛普";""
"cn_Mestwin.m";"梅斯特溫";""
"cn_Mesud.m";"梅斯烏德";""
"cn_Methodios.m";"梅索迪歐斯";""
"cn_Methodus.m";"梅索都斯";""
"cn_Metodiy.m";"梅托第";""
"cn_Metrophanes.m";"梅特羅法尼斯";""
"cn_Metylda.f";"梅緹爾妲";""
"cn_Meurig.m";"梅烏格";""
"cn_Mhamed.m";"莫哈梅德";""
"cn_Michael.m";"邁克爾";""
"cn_Michail.m";"邁凱爾";""
"cn_Michele.m";"梅切爾";""
"cn_Michels.m";"梅歇爾";""
"cn_Micho.m";"梅科";""
"cn_Midoh.m";"梅多哈";""
"cn_Mieclaw.m";"梅克勞";""
"cn_Mieke.f";"米耶克";""
"cn_Mieli.f";"米麗";""
"cn_Mielo.m";"米耶羅";""
"cn_Mieszko.m";"米耶茲科";""
"cn_Mihail.m";"米哈爾";""
"cn_Mihailo.m";"米哈羅";""
"cn_Mihali.m";"米哈利";""
"cn_Mihnea.m";"米尼亞";""
"cn_Mihraban.m";"米拉班";""
"cn_Mihyu.m";"梅育";""
"cn_Mik_el.m";"米克-艾爾";""
"cn_Mikail.m";"米卡里";""
"cn_Mikalojus.m";"米卡羅鳩斯";""
"cn_Mikhael.m";"米克哈爾";""
"cn_Mikhail.m";"米克哈里";""
"cn_Miklos.m";"米克洛斯";""
"cn_Miklusz.m";"米庫魯斯";""
"cn_Miko.m";"米科";""
"cn_Mikola.m";"米科拉";""
"cn_Mikova.f";"米克娃";""
"cn_Miles.m";"米爾斯";""
"cn_Milia.f";"米拉";""
"cn_Milicent.f";"米莉森特";""
"cn_Milika.f";"米莉卡";""
"cn_Milisandra.f";"米莉森妲";""
"cn_Millicent.f";"米爾莉森特";""
"cn_Milo.m";"米羅";""
"cn_Milonis.m";"米隆尼斯";""
"cn_Milos.m";"米洛斯";""
"cn_Milosh.m";"米洛什";""
"cn_Milutin.m";"米盧丁";""
"cn_Minas.m";"米納斯";""
"cn_Mindaugas.m";"明達賈斯";""
"cn_Minhaj.m";"明哈吉";""
"cn_Minhajuddin.m";"明哈朱汀";""
"cn_Mir.m";"米爾";""
"cn_Miranda.f";"米蘭達";""
"cn_Mircea.m";"米爾恰";""
"cn_Mirita.f";"米爾妲";""
"cn_Miroslava.f";"米羅斯拉娃";""
"cn_Miroslawa.f";"米羅斯拉瓦";""
"cn_Miska.m";"米斯卡";""
"cn_Mitso.m";"米思托";""
"cn_Mkhitar.m";"米科哈提爾";""
"cn_Mleh.m";"米爾赫";""
"cn_Moez.m";"莫爾茲";""
"cn_Mohammed.m";"莫哈蒙德";""
"cn_Moil.m";"莫約爾";""
"cn_Moisi.m";"莫伊斯";""
"cn_Mojs.m";"莫吉斯";""
"cn_Moko.m";"莫科";""
"cn_Mokope.f";"莫科佩";""
"cn_Moline.m";"莫林";""
"cn_Momchil.m";"莫齊爾";""
"cn_Mongke.m";"蒙哥";""
"cn_Monica.f";"莫妮卡";""
"cn_Montazin.m";"蒙塔金";""
"cn_Montivid.m";"蒙特維德";""
"cn_Mor.f";"莫爾";""
"cn_Moreu.m";"莫羅";""
"cn_Morfudd.f";"莫福德";""
"cn_Morfyl.f";"莫菲莉";""
"cn_Morgainn.m";"莫爾加尼";""
"cn_Morgan.m";"莫爾甘";""
"cn_Morgann.m";"莫爾甘尼";""
"cn_Moridac.m";"莫爾迪亞克";""
"cn_Moriddig.m";"莫爾迪克";""
"cn_Morphia.f";"莫爾法";""
"cn_Morris.m";"莫瑞斯";""
"cn_Morta.f";"莫爾塔";""
"cn_Mose.m";"莫斯";""
"cn_Mostefa.m";"莫斯特伐";""
"cn_Moucy.m";"莫奇";""
"cn_Mouloud.m";"默勞德";""
"cn_Mounir.m";"摩尼爾";""
"cn_Mourad.m";"莫拉德";""
"cn_Mousel.m";"莫瑟爾";""
"cn_Moussa.m";"莫薩";""
"cn_Movses.m";"莫維斯";""
"cn_Mrksa.m";"莫爾斯卡";""
"cn_Mstyslav.m";"莫斯提拉夫";""
"cn_Mu_mina.f";"穆-米娜";""
"cn_Mu_wizz.m";"穆維茨";""
"cn_Muanneser.m";"穆安尼瑟";""
"cn_Mubarak.m";"穆巴拉克";""
"cn_Mubariz.m";"穆巴瑞澤";""
"cn_Mubarizuddin.m";"穆巴里澤汀";""
"cn_Mubassir.m";"穆巴斯爾";""
"cn_Mucatei.f";"穆巴察臺";""
"cn_Mudar.m";"穆達爾";""
"cn_Mufarrij.m";"穆法拉賈";""
"cn_Mughamis.m";"穆哈米斯";""
"cn_Muh.m";"穆赫";""
"cn_Muhallab.m";"穆哈拉比";""
"cn_Muhammad.m";"穆罕默德";""
"cn_Muhammed.m";"穆哈梅德";""
"cn_Muharizalsin.m";"穆哈瑞薩辛";""
"cn_Muhsin.m";"穆欣";""
"cn_Muircheartach.m";"穆爾齊亞塔克";""
"cn_Muirchertach.m";"穆爾齊爾塔克";""
"cn_Muiredach.m";"穆雷達克";""
"cn_Muirghis.m";"穆爾吉斯";""
"cn_Mujahid.m";"穆賈西德";""
"cn_Mukhulai.m";"穆庫哈萊";""
"cn_Mumin.m";"穆明";""
"cn_Muna.f";"穆娜";""
"cn_Mundhir.m";"穆恩迪爾";""
"cn_Munia.f";"穆妮雅";""
"cn_Muno.m";"穆諾";""
"cn_Munqidh.m";"穆恩恰德";""
"cn_Munuza.m";"穆努札";""
"cn_Muqaddasi.m";"穆恰塔爾西";""
"cn_Murad.m";"穆拉德";""
"cn_Murchadh.m";"穆爾察德";""
"cn_Muredig.m";"穆瑞迪格";""
"cn_Muriel.f";"穆莉蕾";""
"cn_Muriki.m";"穆里齊";""
"cn_Murreall.f";"穆瑞拉爾";""
"cn_Murrough.m";"穆羅";""
"cn_Murtashkar.m";"穆爾塔什卡";""
"cn_Murvan.m";"穆爾凡";""
"cn_Musa.m";"穆薩";""
"cn_Musachio.m";"穆薩齊歐";""
"cn_Mushe.m";"穆榭";""
"cn_Muslih.m";"穆什利";""
"cn_Mutahhare.f";"穆塔哈爾";""
"cn_Mutahharten.m";"穆塔哈騰";""
"cn_Mutarrif.m";"穆塔里夫";""
"cn_Mutimir.m";"穆提米爾";""
"cn_Muttalib.m";"穆塔里布";""
"cn_Mutukan.m";"穆圖坎";""
"cn_Muwaffaq.m";"穆瓦法克";""
"cn_Muzaffer.m";"穆札弗爾";""
"cn_Muzahim.m";"穆札西姆";""
"cn_Muzahima.f";"穆札茜瑪";""
"cn_Muzaka.m";"穆扎卡";""
"cn_Myfanwy.f";"梅凡薇";""
"cn_Myndowen.m";"梅恩德文";""
